cust_id,reply_id,customer_text,brand_reply,created_at
1789,matched_prev,No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,Please keep us posted afterwards.,Tue Oct 31 21:32:24 +0000 2017
1791,matched_prev,why won’t my apps fuccin download or update,Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,Tue Oct 31 21:25:20 +0000 2017
2610,matched_prev,$100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,Let us know and we'll continue from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:50:12 +0000 2017
2613,matched_prev,"Cupertino, we have a problem. . . . . https://t.co/ImMcJ8QsTM",We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,Tue Oct 31 22:44:41 +0000 2017
2615,2617,"Yes, after the update. I Phone 7",Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT,Tue Oct 31 23:12:31 +0000 2017
2616,matched_prev,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",Tue Oct 31 22:48:09 +0000 2017
2619,2621,But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Tue Oct 31 23:21:50 +0000 2017
2620,matched_prev,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,Tue Oct 31 22:47:13 +0000 2017
2627,2629,iOS 11.1 it’s been getting worse for a few months now,Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT,Tue Oct 31 23:20:30 +0000 2017
2631,2633,"iPhone 7+, iOS 11.1","Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT",Tue Oct 31 23:46:00 +0000 2017
2632,matched_prev,And why is my music NEVER in my control center?!,We're here to help out! Which device is this on and which version of iOS is currently installed?,Tue Oct 31 22:44:52 +0000 2017
2637,2639,"Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Tue Nov 07 18:19:00 +0000 2017
2638,matched_prev,...cost for sending in for diagnosing a problem if it's out of warranty?,We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,Tue Oct 31 22:45:03 +0000 2017
2642,matched_prev,still no reliable Bluetooth on my iPhone 8+.,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT,Tue Oct 31 22:44:01 +0000 2017
2644,2646,"When you roll the month, it does not appear and hangs",We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 01 13:30:29 +0000 2017
2648,matched_prev,do you have any apps for epilepsy so I can detect my seizures thanks in advance,"Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",Tue Oct 31 22:37:41 +0000 2017
2654,matched_prev,newest version of iOS and iPhone 7,"Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",Tue Oct 31 21:13:13 +0000 2017
2656,matched_prev,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth???,"We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",Tue Oct 31 20:02:52 +0000 2017
2662,matched_prev,So why is this happening I I I,We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,Tue Oct 31 22:32:52 +0000 2017
2666,matched_prev,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,We'd like to look into this with you. Does the song appear to be greyed out?,Tue Oct 31 22:44:20 +0000 2017
2671,matched_prev,^^check this out,Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:41:59 +0000 2017
2676,matched_prev,HELP ME. I have a problem with my iPhone 7😑,We're happy to help. What seems to be the problem?,Tue Oct 31 22:04:56 +0000 2017
2678,matched_prev,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD","We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",Tue Oct 31 22:38:41 +0000 2017
2680,matched_prev,It’s sorted. Thanks. iOS update needed a change and hard reboot,We're glad to hear that's sorted out for you. Have a great day.,Tue Oct 31 22:39:41 +0000 2017
2682,matched_prev,ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings > Sounds?",Fri Oct 20 08:39:06 +0000 2017
2684,matched_prev,live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",Tue Oct 31 22:38:21 +0000 2017
3761,matched_prev,Listen I’m having issues with my phone so like can you @ me so we can talk,We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,Tue Oct 31 23:04:42 +0000 2017
3764,matched_prev,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus,Let's look at this together. Are you updated to iOS 11.1?,Tue Oct 31 23:04:59 +0000 2017
3767,matched_prev,I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,"We understand your concerns, and want to help. Which device is this happening on?",Tue Oct 31 22:59:14 +0000 2017
3769,3771,That fixed it thanks,That's great! Enjoy the rest of your day.,Tue Oct 31 23:47:00 +0000 2017
3770,matched_prev,this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,Tue Oct 31 23:00:56 +0000 2017
3773,matched_prev,iOS 11.1 - keyboard lag. 🤨 https://t.co/TdIHT9L9dt,We'd like to take a look into that with you. Would you please join us in DM to get started? https://t.co/GDrqU22YpT,Tue Oct 31 23:00:36 +0000 2017
3776,3778,"still happening, including on iOS 11.2 beta now. any ideas?",Thanks for the update. Go ahead and send us a DM and we'll take it from there. https://t.co/GDrqU22YpT,Wed Nov 01 20:47:00 +0000 2017
3777,matched_prev,"I've also forced the app to close from the background and reopened, no dice 🎲",Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,Tue Oct 31 22:53:05 +0000 2017
4870,4872,iPhone 6 and yes it’s got the latest software update,"Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",Wed Nov 01 12:37:25 +0000 2017
4871,matched_prev,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤,We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,Tue Oct 31 23:22:50 +0000 2017
4875,matched_prev,Come on #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,Let's investigate this together. Does this only occur when using specific apps or website?,Tue Oct 31 23:21:57 +0000 2017
4877,matched_prev,Restarting does resolve the issue. Thanks.,We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,Tue Oct 31 22:58:23 +0000 2017
4879,matched_prev,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,Tue Oct 31 21:36:19 +0000 2017
4882,matched_prev,tell me why I’I’ve updated my phone twice and I can’t type letter I without getting a letter A and a question mark,We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings > General > About.,Tue Oct 31 23:13:13 +0000 2017
4889,4891,And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"We appreciate those details. For more help with Photos, please reach out to our Photos experts here: https://t.co/IBIY3vMgPj",Wed Nov 01 13:28:00 +0000 2017
4890,matched_prev,"whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,Tue Oct 31 23:16:12 +0000 2017
4897,4898,AFTER I updated my phone.,Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT,Tue Oct 31 23:32:28 +0000 2017
4896,matched_prev,please make this stop!!! https://t.co/YoyrO8iZKe,"Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",Tue Oct 31 23:08:51 +0000 2017
4900,4902,I have and my battery life has become even worse,Let's look into this further in DM. https://t.co/GDrqU22YpT,Thu Nov 02 13:58:00 +0000 2017
4901,matched_prev,Please fix the battery issues in Ios 11!,We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,Tue Oct 31 23:13:35 +0000 2017
4905,4907,I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,Tue Oct 31 23:34:00 +0000 2017
4906,matched_prev,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,Tue Oct 31 23:06:38 +0000 2017
4912,matched_prev,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf ?,"We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",Tue Oct 31 23:09:18 +0000 2017
4917,matched_prev,. why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,We'd like to help. What iOS version are you on?,Tue Oct 31 23:03:40 +0000 2017
5812,matched_prev,just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,Got it. Have you updated your Apple Watch to 4.1 yet?,Tue Oct 31 21:09:27 +0000 2017
5816,matched_prev,I <— wtf is going on,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Tue Oct 31 23:11:02 +0000 2017
5819,matched_prev,I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,Tue Oct 31 23:36:21 +0000 2017
5821,matched_prev,"Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,Tue Oct 31 23:28:41 +0000 2017
5825,matched_prev,"excuse me, can someone explain to me why when I type an “I” alone I get an A and a question mark???????",We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. https://t.co/GDrqU22YpT,Tue Oct 31 23:33:58 +0000 2017
5831,matched_prev,why does my iphone 6 is redémarrer alone !!!!!,Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT,Tue Oct 31 23:31:26 +0000 2017
5833,matched_prev,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication ?????",We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Tue Oct 31 23:24:02 +0000 2017
5835,matched_prev,You dropped an update and I still see boxed question marks. Fix this shit .,We're here to help. Which version of iOS is installed on your device? You'll see this in Settings > General > About.,Tue Oct 31 23:24:52 +0000 2017
5837,5840,Yes. Sorry. I just watched a video about 11.2 beta. 11.1 When I type the letter Eye I happens https://t.co/bUBElgADue,"Have you tried resetting the keyboard dictionary yet? If not, go to Settings > General > Reset > Reset Keyboard Library",Tue Oct 31 23:48:52 +0000 2017
5841,5842,Tried It and It still doesn’t work,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Mon Nov 06 03:51:51 +0000 2017
5839,matched_prev,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️,We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,Tue Oct 31 23:32:30 +0000 2017
5844,5846,"No, virginmedia. Tried twice with completely new mail. One didn’t save, 2nd did though. Very odd.","Some accounts may create separate folders for your Drafts. If you're still having trouble, please DM us here: https://t.co/GDrqU22YpT",Wed Nov 01 00:18:31 +0000 2017
5845,matched_prev,Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,Tue Oct 31 23:25:15 +0000 2017
5849,matched_prev,I updated to iOS 11 and my iPhone 6 stopped connecting to wi-fi. Already restored the phone and the network connections,"We are here to help. So we can best isolate the cause, could you verify your exact iOS version? https://t.co/ZTw54HL4Rm",Tue Oct 31 23:18:58 +0000 2017
5853,matched_prev,why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...,We'd love to help. Let's work together in DM. https://t.co/GDrqU22YpT,Tue Oct 31 23:16:16 +0000 2017
6483,matched_prev,Hello what’s happening to my screen https://t.co/GTNXT4VoKd,We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM. https://t.co/GDrqU22YpT,Mon Oct 09 00:07:26 +0000 2017
6554,matched_prev,how long does it take usually for account recovery to get back to you? It’s been about a week now.,Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here: https://t.co/GDrqU22YpT,Mon Oct 09 00:12:53 +0000 2017
6608,matched_prev,the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. https://t.co/GDrqU22YpT,Mon Oct 09 00:00:42 +0000 2017
6657,matched_prev,My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. https://t.co/GDrqU22YpT,Mon Oct 09 00:02:47 +0000 2017
6917,matched_prev,"Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","Are you currently using Low Power Mode? If so, disable that from Settings > Battery and restart. Let us know in DM if it helps. https://t.co/GDrqU22YpT",Mon Oct 09 00:22:03 +0000 2017
6919,matched_prev,"I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?","We can help! We assume you mean iOS 11, right? Can you tell us what types of performance issues you're experiencing?",Sun Oct 08 23:28:14 +0000 2017
6928,matched_prev,my iPhone is a fully up to date so why does my phone keep freezing 🙃???,"We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",Mon Oct 09 00:16:29 +0000 2017
6934,matched_prev,after the new apple updates: the battery life is really go fast and the WiFi is always on! #newappleupdates,We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT,Mon Oct 09 00:11:15 +0000 2017
8297,matched_prev,Hello there i need help with the use of an administartors name and password on my imac,Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. https://t.co/GDrqU22YpT,Sun Nov 05 20:19:05 +0000 2017
8299,matched_prev,DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. https://t.co/GDrqU22YpT,Sun Nov 05 20:14:34 +0000 2017
8302,matched_prev,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating https://t.co/ufl7yqidmb,"We'd like to learn more about what's happening. What model & iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr",Sun Nov 05 20:24:22 +0000 2017
8308,matched_prev,I don’t know. I need the space though. How do I get rid of some snapshots,Finder and Get Info windows don't include snapshots in their calculations so that's not the root cause. Let's meet within DM: https://t.co/GDrqU22YpT,Sun Nov 05 19:55:56 +0000 2017
8310,matched_prev,Its slowing down my mac a lot,"Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",Sun Nov 05 15:46:04 +0000 2017
8313,matched_prev,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW,Sat Nov 04 17:42:01 +0000 2017
8320,matched_prev,iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,Sun Nov 05 15:11:28 +0000 2017
8340,matched_prev,only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution. https://t.co/GDrqU22YpT,Sun Nov 05 20:16:27 +0000 2017
8420,matched_prev,Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,"If you are unable to access these resources, let's get you connected with our local AppleCare Support team to get you to our Online Support group: https://t.co/zDY8Np0kg6",Sat Nov 18 18:42:04 +0000 2017
8435,8438,I need an actual human to help me,"Understood. For further help with your Apple ID, connect with one of our Apple ID Advisors here: https://t.co/UJm15vmMM2",Sun Nov 19 14:38:02 +0000 2017
8544,8546,"no, my photos aren’t gone. why are there four (five actually, one isn’t pictured) albums in my photos all labeled twitter?",Got it. Please continue with us by reaching out to our Photos app experts: https://t.co/IBIY3vMgPj,Wed Nov 01 00:10:26 +0000 2017
8548,matched_prev,lil help? https://t.co/3cl8aEdWdr,We'd love to help. DM us which iOS device you are experiencing this issue on to get started. https://t.co/GDrqU22YpT,Tue Oct 31 23:48:40 +0000 2017
8550,8552,so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,"This link is a great place to start: https://t.co/kQXBriN504 If you still have issues after those steps, DM us. https://t.co/GDrqU22YpT",Wed Nov 01 00:06:26 +0000 2017
8553,8554,ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw? what tips to prevent it wont happen again?,"We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT",Wed Nov 01 00:27:00 +0000 2017
8551,matched_prev,ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,"For security, the passcode is always required even if you have Touch ID turned on. Are you still having touch screen issues?",Tue Oct 31 23:46:15 +0000 2017
8557,matched_prev,"is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,Tue Oct 31 20:31:28 +0000 2017
8559,8562,Yes I just did that today.,"OK, please DM us, so we can work together on this. https://t.co/GDrqU22YpT",Wed Nov 01 00:00:29 +0000 2017
8561,matched_prev,hey what’s going on with the letter I . When i start to. Type this happens below https://t.co/jbNZfUwkzL,"Let's look at this together. To begin, are you completely updated to iOS 11.1?",Tue Oct 31 23:48:57 +0000 2017
8570,matched_prev,"FYI, Folders no longer show Folder Names after update unless folder highlighted. https://t.co/1iiNNz9ZFk",Thanks for reaching out. For help with AppleTV reach out to our experts here: https://t.co/IBIY3vMgPj,Tue Oct 31 23:44:22 +0000 2017
8573,8575,Thank you.,"You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",Wed Nov 01 00:04:25 +0000 2017
8574,matched_prev,this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y,Tue Oct 31 23:44:40 +0000 2017
8577,matched_prev,since upgrade to High Sierra I see this screen each time my iMac reboots thus defeating automatic login I need. Help. https://t.co/z9trEHnGbP,"Thanks for reaching out to let us know about this. So we can look into this with you, please DM us here: https://t.co/GDrqU22YpT",Tue Oct 31 23:40:32 +0000 2017
8579,matched_prev,"I bought 2 iPhones X on Friday, but I don’t see any charge on my credit card. Do I should worry or it’s normal?","Thanks for reaching out to us. Please send us a DM with your country, and we'll look into this. https://t.co/GDrqU22YpT",Tue Oct 31 23:42:57 +0000 2017
9151,9153,"Well, I was running 11.0.3, and now 11.1. Issue persists.",Thanks. Please DM us and we'll continue this conversation there. https://t.co/GDrqU22YpT,Wed Nov 01 02:11:00 +0000 2017
9154,9155,I’m having the same issue!!! Just started today!,Lets help get this sorted. Please DM us the version of iOS you're using and we can go from there. https://t.co/GDrqU22YpT,Wed Nov 01 17:55:56 +0000 2017
9152,matched_prev,"Hey , what’s up with this new autocorrect? Happening on iPhone 7 Plus and iPhone 7. https://t.co/pHA05gv7g7",Let's take a look at this issue together. Which iOS version is your device currently running?,Wed Nov 01 00:01:52 +0000 2017
9158,matched_prev,It’s showing it’s connected and the battery is decreasing.,We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,Wed Nov 01 00:02:25 +0000 2017
